groupNumber,d_day,d_airlane,d_number,d_departure,d_time,d_destination,d_time2,b_day,b_airlane,b_number,b_departure,b_time,b_destination,b_time2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LZN03200624A,1,立榮航空,B78731,台中清泉岡機場,2020/06/24 11:50,馬祖南竿機場,2020/06/24 12:55,3,立榮航空,B78732,馬祖南竿機場,2020/06/26 13:30,台中清泉岡機場,2020/06/26 14:35
HAN05200624A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
HAN05200624B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
OKA05200624B,1,亞航 X,D7384,桃園國際機場,2020/06/24 13:20,沖繩機場,2020/06/24 16:00,5,亞航 X,D7385,沖繩機場,2020/06/28 17:30,桃園國際機場,2020/06/28 18:10
HAN05200625C,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625A,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
HAN05200625D,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625B,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
PEN05200625A,1,星宇航空,JX721,桃園國際機場,2020/06/25 09:30,檳城機場,2020/06/25 13:50,5,星宇航空,JX722,檳城機場,2020/06/29 15:00,桃園國際機場,2020/06/29 20:00
HAN05200626A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
OKA04200626H,1,亞航 X,D7384,桃園國際機場,2020/06/26 13:20,沖繩機場,2020/06/26 16:00,4,亞航 X,D7385,沖繩機場,2020/06/29 16:55,桃園國際機場,2020/06/29 17:35
HAN05200626B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
LZN03200624A,1,立榮航空,B78731,台中清泉岡機場,2020/06/24 11:50,馬祖南竿機場,2020/06/24 12:55,3,立榮航空,B78732,馬祖南竿機場,2020/06/26 13:30,台中清泉岡機場,2020/06/26 14:35
HAN05200624A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
HAN05200624B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
OKA05200624B,1,亞航 X,D7384,桃園國際機場,2020/06/24 13:20,沖繩機場,2020/06/24 16:00,5,亞航 X,D7385,沖繩機場,2020/06/28 17:30,桃園國際機場,2020/06/28 18:10
HAN05200625C,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625A,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
HAN05200625D,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625B,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
PEN05200625A,1,星宇航空,JX721,桃園國際機場,2020/06/25 09:30,檳城機場,2020/06/25 13:50,5,星宇航空,JX722,檳城機場,2020/06/29 15:00,桃園國際機場,2020/06/29 20:00
HAN05200626A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
OKA04200626H,1,亞航 X,D7384,桃園國際機場,2020/06/26 13:20,沖繩機場,2020/06/26 16:00,4,亞航 X,D7385,沖繩機場,2020/06/29 16:55,桃園國際機場,2020/06/29 17:35
HAN05200626B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
HAN05200627A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/27 17:15,河內機場,2020/06/27 19:05,5,越捷航空,VJ948,河內機場,2020/07/01 12:45,台中清泉岡機場,2020/07/01 16:15
HAN05200627B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/27 17:15,河內機場,2020/06/27 19:05,5,越捷航空,VJ948,河內機場,2020/07/01 12:45,台中清泉岡機場,2020/07/01 16:15
OKA04200627C,1,台虎,IT232,桃園國際機場,2020/06/27 18:30,沖繩機場,2020/06/27 21:00,4,台虎,IT233,沖繩機場,2020/06/30 21:40,桃園國際機場,2020/06/30 22:10
OKA04200627D,1,台虎,IT232,桃園國際機場,2020/06/27 18:30,沖繩機場,2020/06/27 21:00,4,台虎,IT233,沖繩機場,2020/06/30 21:40,桃園國際機場,2020/06/30 22:10
HAN05200628A,1,越竹,QH511,桃園國際機場,2020/06/28 20:35,河內機場,2020/06/28 23:35,5,越竹,QH510,河內機場,2020/07/02 15:35,桃園國際機場,2020/07/02 19:35
HAN05200628B,1,越竹,QH511,桃園國際機場,2020/06/28 20:35,河內機場,2020/06/28 23:35,5,越竹,QH510,河內機場,2020/07/02 15:35,桃園國際機場,2020/07/02 19:35
HAN05200628D,1,長榮航空,BR397,桃園國際機場,2020/06/28 09:00,河內機場,2020/06/28 11:05,5,長榮航空,BR398,河內機場,2020/07/02 12:05,桃園國際機場,2020/07/02 15:55
DAD05200628B,1,星宇航空,JX1701,桃園國際機場,2020/06/28 15:15,峴港機場,2020/06/28 17:00,5,星宇航空,JX1702,峴港機場,2020/07/02 18:00,桃園國際機場,2020/07/02 21:45
DXB08200628A,1,汶萊航空,BI452,桃園國際機場,2020/06/28 15:00,汶萊機場,2020/06/28 18:30,1,汶萊航空,BI007,汶萊機場,2020/06/28 00:10,杜拜機場,2020/06/29 03:35
LZN03200624A,1,立榮航空,B78731,台中清泉岡機場,2020/06/24 11:50,馬祖南竿機場,2020/06/24 12:55,3,立榮航空,B78732,馬祖南竿機場,2020/06/26 13:30,台中清泉岡機場,2020/06/26 14:35
HAN05200624A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
HAN05200624B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
OKA05200624B,1,亞航 X,D7384,桃園國際機場,2020/06/24 13:20,沖繩機場,2020/06/24 16:00,5,亞航 X,D7385,沖繩機場,2020/06/28 17:30,桃園國際機場,2020/06/28 18:10
HAN05200625C,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625A,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
HAN05200625D,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625B,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
PEN05200625A,1,星宇航空,JX721,桃園國際機場,2020/06/25 09:30,檳城機場,2020/06/25 13:50,5,星宇航空,JX722,檳城機場,2020/06/29 15:00,桃園國際機場,2020/06/29 20:00
HAN05200626A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
OKA04200626H,1,亞航 X,D7384,桃園國際機場,2020/06/26 13:20,沖繩機場,2020/06/26 16:00,4,亞航 X,D7385,沖繩機場,2020/06/29 16:55,桃園國際機場,2020/06/29 17:35
HAN05200626B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
HAN05200629A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/29 17:15,河內機場,2020/06/29 19:05,5,越捷航空,VJ948,河內機場,2020/07/03 12:45,台中清泉岡機場,2020/07/03 16:15
HAN05200629B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/29 17:15,河內機場,2020/06/29 19:05,5,越捷航空,VJ948,河內機場,2020/07/03 12:45,台中清泉岡機場,2020/07/03 16:15
OKA05200629B,1,亞航 X,D7384,桃園國際機場,2020/06/29 13:20,沖繩機場,2020/06/29 16:00,5,亞航 X,D7385,沖繩機場,2020/07/03 17:30,桃園國際機場,2020/07/03 18:10
HAN05200629D,1,長榮航空,BR397,桃園國際機場,2020/06/29 09:00,河內機場,2020/06/29 11:05,5,長榮航空,BR398,河內機場,2020/07/03 12:05,桃園國際機場,2020/07/03 15:55
KNH03200630A,1,立榮航空,B78955,台中清泉岡機場,2020/06/30 08:30,金門機場,2020/06/30 09:35,3,立榮航空,B78962,金門機場,2020/07/02 17:00,台中清泉岡機場,2020/07/02 18:00
NGO06200630B,1,7G,7G810,桃園國際機場,2020/06/30 18:10,名古屋機場,2020/06/30 22:05,6,7G,7G811,名古屋機場,2020/07/05 08:30,桃園國際機場,2020/07/05 10:30
NGO06200630A,1,7G,7G810,桃園國際機場,2020/06/30 18:10,名古屋機場,2020/06/30 22:05,6,7G,7G811,名古屋機場,2020/07/05 08:30,桃園國際機場,2020/07/05 10:30
ALA09200630A,1,韓亞航空,OZ712,桃園國際機場,2020/06/30 12:55,漢城(仁川機場)機場,2020/06/30 16:30,1,韓亞航空,OZ577,漢城(仁川機場)機場,2020/06/30 18:10,阿拉木圖機場,2020/06/30 21:55
KNH03200701G,1,立榮航空,B79195,台北松山機場,2020/07/01 08:45,金門機場,2020/07/01 09:45,3,立榮航空,B79192,金門機場,2020/07/03 14:35,台北松山機場,2020/07/03 15:35
MZG04200701E,1,華信航空,AE379,台北松山機場,2020/07/01 14:30,澎湖馬公機場,2020/07/01 15:30,4,華信航空,AE364,澎湖馬公機場,2020/07/04 09:25,台北松山機場,2020/07/04 10:20
KNH03200701F,1,立榮航空,B78807,台北松山機場,2020/07/01 08:00,金門機場,2020/07/01 09:20,3,立榮航空,B78826,金門機場,2020/07/03 17:40,台北松山機場,2020/07/03 18:50
KNH03200701E,1,立榮航空,B78807,台北松山機場,2020/07/01 08:00,金門機場,2020/07/01 09:20,3,立榮航空,B78826,金門機場,2020/07/03 17:40,台北松山機場,2020/07/03 18:50
LZN03200624A,1,立榮航空,B78731,台中清泉岡機場,2020/06/24 11:50,馬祖南竿機場,2020/06/24 12:55,3,立榮航空,B78732,馬祖南竿機場,2020/06/26 13:30,台中清泉岡機場,2020/06/26 14:35
HAN05200624A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
HAN05200624B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
OKA05200624B,1,亞航 X,D7384,桃園國際機場,2020/06/24 13:20,沖繩機場,2020/06/24 16:00,5,亞航 X,D7385,沖繩機場,2020/06/28 17:30,桃園國際機場,2020/06/28 18:10
HAN05200625C,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625A,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
HAN05200625D,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625B,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
PEN05200625A,1,星宇航空,JX721,桃園國際機場,2020/06/25 09:30,檳城機場,2020/06/25 13:50,5,星宇航空,JX722,檳城機場,2020/06/29 15:00,桃園國際機場,2020/06/29 20:00
HAN05200626A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
OKA04200626H,1,亞航 X,D7384,桃園國際機場,2020/06/26 13:20,沖繩機場,2020/06/26 16:00,4,亞航 X,D7385,沖繩機場,2020/06/29 16:55,桃園國際機場,2020/06/29 17:35
HAN05200626B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
KNH03200701D,1,立榮航空,B78807,台北松山機場,2020/07/01 08:00,金門機場,2020/07/01 09:20,3,立榮航空,B78826,金門機場,2020/07/03 17:40,台北松山機場,2020/07/03 18:50
TWN03200701J,1,立榮航空,B79061,台北松山機場,2020/07/01 07:50,台東機場,2020/07/01 08:55,1,立榮航空,B78721,台北松山機場,2020/07/01 10:00,台東機場,2020/07/01 11:05
MZG04200701F,1,華信航空,AE379,台北松山機場,2020/07/01 14:30,澎湖馬公機場,2020/07/01 15:30,4,華信航空,AE364,澎湖馬公機場,2020/07/04 09:25,台北松山機場,2020/07/04 10:20
MFK03200701E,1,立榮航空,B78785,台北松山機場,2020/07/01 12:25,馬祖北竿機場,2020/07/01 13:20,3,立榮航空,B78766,馬祖南竿機場,2020/07/03 17:20,台北松山機場,2020/07/03 18:10
MFK03200701D,1,立榮航空,B78785,台北松山機場,2020/07/01 12:25,馬祖北竿機場,2020/07/01 13:20,3,立榮航空,B78766,馬祖南竿機場,2020/07/03 17:20,台北松山機場,2020/07/03 18:10
LZN03200701D,1,立榮航空,B78785,台北松山機場,2020/07/01 12:25,馬祖南竿機場,2020/07/01 13:20,3,立榮航空,B78766,馬祖北竿機場,2020/07/03 17:20,台北松山機場,2020/07/03 18:10
TWN03200701H,1,立榮航空,B79061,台北松山機場,2020/07/01 07:50,台東機場,2020/07/01 08:55,1,立榮航空,B78721,台北松山機場,2020/07/01 10:00,台東機場,2020/07/01 11:05
TAE05200701A,1,德威,TW664,桃園國際機場,2020/07/01 02:05,大邱機場,2020/07/01 05:25,5,德威,TW663,大邱機場,2020/07/05 22:40,桃園國際機場,2020/07/06 00:05
BKI06200701A,1,亞航,AK1511,桃園國際機場,2020/07/01 09:55,亞庇 (沙巴)機場,2020/07/01 13:25,6,亞航,AK1510,亞庇 (沙巴)機場,2020/07/06 06:10,桃園國際機場,2020/07/06 09:25
OSA06200701A,1,亞航 X,D7382,桃園國際機場,2020/07/01 16:55,大阪關西機場,2020/07/01 20:25,6,亞航 X,D7383,大阪關西機場,2020/07/06 21:45,桃園國際機場,2020/07/06 23:45
KKJ05200701B,1,7G,7G800,桃園國際機場,2020/07/01 11:50,北九州機場,2020/07/01 15:05,5,7G,7G801,北九州機場,2020/07/05 15:55,桃園國際機場,2020/07/05 17:40
KKJ05200701A,1,7G,7G800,桃園國際機場,2020/07/01 11:30,北九州機場,2020/07/01 14:50,5,7G,7G801,北九州機場,2020/07/05 15:50,桃園國際機場,2020/07/05 17:20
LZN03200624A,1,立榮航空,B78731,台中清泉岡機場,2020/06/24 11:50,馬祖南竿機場,2020/06/24 12:55,3,立榮航空,B78732,馬祖南竿機場,2020/06/26 13:30,台中清泉岡機場,2020/06/26 14:35
HAN05200624A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
HAN05200624B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
OKA05200624B,1,亞航 X,D7384,桃園國際機場,2020/06/24 13:20,沖繩機場,2020/06/24 16:00,5,亞航 X,D7385,沖繩機場,2020/06/28 17:30,桃園國際機場,2020/06/28 18:10
HAN05200625C,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625A,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
HAN05200625D,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625B,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
PEN05200625A,1,星宇航空,JX721,桃園國際機場,2020/06/25 09:30,檳城機場,2020/06/25 13:50,5,星宇航空,JX722,檳城機場,2020/06/29 15:00,桃園國際機場,2020/06/29 20:00
HAN05200626A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
OKA04200626H,1,亞航 X,D7384,桃園國際機場,2020/06/26 13:20,沖繩機場,2020/06/26 16:00,4,亞航 X,D7385,沖繩機場,2020/06/29 16:55,桃園國際機場,2020/06/29 17:35
HAN05200626B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
KNH03200702F,1,立榮航空,B78807,台北松山機場,2020/07/02 08:00,金門機場,2020/07/02 09:20,3,立榮航空,B78826,金門機場,2020/07/04 17:40,台北松山機場,2020/07/04 18:50
MZG04200702E,1,華信航空,AE379,台北松山機場,2020/07/02 14:30,澎湖馬公機場,2020/07/02 15:30,4,華信航空,AE364,澎湖馬公機場,2020/07/05 09:25,台北松山機場,2020/07/05 10:20
KNH03200702E,1,立榮航空,B78807,台北松山機場,2020/07/02 08:00,金門機場,2020/07/02 09:20,3,立榮航空,B78826,金門機場,2020/07/04 17:40,台北松山機場,2020/07/04 18:50
TWN03200702J,1,立榮航空,B79061,台北松山機場,2020/07/02 07:50,台東機場,2020/07/02 08:55,1,立榮航空,B78721,台北松山機場,2020/07/02 10:00,台東機場,2020/07/02 11:05
